전공/학과,교과목명,담당교수,강의시간,수강인원
유아교육과,아동권리와복지,임혜성,"월 F / 유202, 수 D / 유202",11
유아교육과,아동문학,이병호,"월 C / 유202, 수 E / 유202",17
유아교육과,아동문학,이상은,금 A~B / 유202,20
유아교육과,아동안전관리,이상은,월 C~D / 유201,32
유아교육과,언어지도,이병호,"월 E / 유201, 수 C / 유201",38
유아교육과,유아교과교재연구및지도법,양유진,금 A~B / 유201,19
유아교육과,유아교과교재연구및지도법,양유진,금 E~F / 유201,21
유아교육과,유아교육기관운영관리,임혜성,"화 C / 차324, 목 E / 차324",0
유아교육과,유아교육학개론,임승렬,"화 C / 유202, 목 E / 유202",17
유아교육과,유아교육학개론,임승렬,"화 E / 유202, 목 C / 유202",20
유아교육과,유아동작교육,김윤희,"화 D / 유201, 목 F / 유201",22
유아교육과,유아동작교육,김윤희,"화 F / 유201, 목 D / 유201",13
유아교육과,유아사회교육,김은정,"수 A~B / , 수 A~B / 유202",14
유아교육과,유아사회교육,임혜성,목 A~B / 유202,12
유아교육과,유아수학교육,이정욱,"화 C / 유201, 목 E / 유201",20
유아교육과,유아수학교육,이정욱,"화 E / 유201, 목 C / 유201",17
컴퓨터공학전공,JAVA프로그래밍,이찬수,"화 F / 차337, 목 G / 차337",42
컴퓨터공학전공,JAVA프로그래밍,이찬수,"화 G / 차337, 목 F / 차337",45
컴퓨터공학전공,객체지향프로그래밍,남송휘,월 C~D / 차337,40
컴퓨터공학전공,객체지향프로그래밍,남송휘,월 G~H / 차337,23
컴퓨터공학전공,데이터베이스프로그래밍,박우창,수 A~B / 차338,36
컴퓨터공학전공,리눅스프로그래밍,최승훈,"화 A / 차337, 목 B / 차337",36
컴퓨터공학전공,리눅스프로그래밍,최승훈,"화 B / 차337, 목 A / 차337",25
컴퓨터공학전공,소프트웨어공학,남송휘,월 E~F / 차337,53
컴퓨터공학전공,알고리즘,이주영,"화 A / 차139, 목 B / 차139",58
컴퓨터공학전공,인공지능,유견아,"화 F / 차137, 목 D / 차137",39
컴퓨터공학전공,인터넷보안,이주영,"화 C / 차136, 목 E / 차136",31
컴퓨터공학전공,인터넷프로그래밍,이경미,"화 E / 차337, 목 C / 차337",44
컴퓨터공학전공,인터넷프로그래밍,이경미,"화 F / 차338, 목 D / 차338",34
컴퓨터공학전공,자료구조론,박우창,"화 A / 차338, 목 B / 차338",42
컴퓨터공학전공,자료구조론,박우창,"화 B / 차338, 목 A / 차338",43
컴퓨터공학전공,졸업프로젝트2(캡스톤디자인)(영어강의),유견아,월 G~H / 차137,50
IT미디어공학전공,객체프로그래밍,정원호,"화 D / 차136, 목 F / 차136",69
IT미디어공학전공,고급3D스크립팅,백대현,목 C~D / 차339,31
IT미디어공학전공,기계학습,김상준,월 E~F / 차340,29
IT미디어공학전공,기계학습,김상준,월 A~B / 차340,45
IT미디어공학전공,디지털프로젝트2(캡스톤디자인),나정조,월 E~F / 차339,29
IT미디어공학전공,디지털프로젝트2(캡스톤디자인),임양규,월 E~F / 차336,33
IT미디어공학전공,사운드디자인,임양규,"월 D / 차336, 수 F / 차336",48
IT미디어공학전공,사운드아트프로그래밍,임양규,금 E~F / 차336,28
IT미디어공학전공,시스템소프트웨어,이난경,금 E~F / 차339,12
IT미디어공학전공,실시간모션,나정조,화 E~F / 차339,30
IT미디어공학전공,실시간모션,백대현,목 E~F / 차340,25
IT미디어공학전공,실시간모션,나정조,수 A~B / 차340,32
IT미디어공학전공,안드로이드플랫폼,이정섭,수 C~D / 차336,12
IT미디어공학전공,인터넷해킹및보안,서민혜,"월 D / 차340, 수 F / 차340",26
IT미디어공학전공,입체영상(캡스톤디자인),임양미,목 A~B / 차339,25
IT미디어공학전공,콘텐츠빅데이터,심보광,수 C~D / 차340,40
IT미디어공학전공,콘텐츠빅데이터,심보광,목 C~D / 차340,37
사이버보안전공,고급C프로그래밍,서민혜,"월 F / 차321, 수 D / 차321",33
사이버보안전공,네트워크보안프로그래밍,정혜진,목 A~B / 차319,26
사이버보안전공,딥러닝,김성애,월 E~F / 차319,22
사이버보안전공,보안소프트웨어개발방법론,서민혜,"화 F / 차321, 목 D / 차321",26
사이버보안전공,심화객체프로그래밍,계승철,화 A~B / 차319,28
사이버보안전공,응용암호학,서민혜,"화 D / 차321, 목 F / 차321",37
사이버보안전공,자료구조,정혜진,수 A~B / 차319,39
사이버보안전공,컴퓨터통신,왕수현,금 C~D / 차136,40
소프트웨어전공,C와리눅스2,이재호,"월 C / 차320, 수 E / 차320",44
소프트웨어전공,데이터구조와알고리즘,이형규,"화 D / 차320, 목 F / 차320",44
소프트웨어전공,딥러닝 응용,이형규,수 C~D / 차235,24
소프트웨어전공,모던C++프로그래밍,강지헌,"화 D / 차235, 목 F / 차235",36
소프트웨어전공,빅테이터시스템,강지헌,"월 D / 차235, 수 F / 차235",40
소프트웨어전공,소프트웨어 프로젝트1 (캡스톤 디자인),이재호,금 C~D / 차320,25
소프트웨어전공,안드로이드프로그래밍,음두헌,"화 F / 차320, 목 D / 차320",31
소프트웨어전공,자바객체지향프로그래밍1,음두헌,"월 E / 차235, 수 C / 차320",42
바이오공학전공,미생물공학,주황수,"월 E / 자B202, 수 C / 자B202",65
바이오공학전공,바이오 인공지능,류재용,"월 F / 차326, 수 D / 차326",50
바이오공학전공,바이오공학종합설계(캡스톤디자인),박현준,"금 E~H / , 금 E~H / 자C104",10
바이오공학전공,바이오기기분석실험,주황수,"금 5~6 / , 금 5~6 / 자C104",14
바이오공학전공,바이오산업현장실습,박현준,목 E~F / 자B206,35
바이오공학전공,분자유전학,김태훈,"화 C / 자B205, 목 E / 자B205",48
바이오공학전공,생명공학개론,류재용,"화 D / 차137, 목 F / 차137",69
바이오공학전공,생명공학세미나2,류재용,수 E~F / 자B201,24
바이오공학전공,생명공학특수연구실험,주황수,"월 G~H / , 월 G~H / 자C104, 수 G~H / , 수 G~H / 자C104",26
바이오공학전공,생명정보학,박현준,"월 D / 차325, 수 F / 차325",48
바이오공학전공,생물공정공학2,주황수,"월 C / 자B206, 수 E / 자B206",36
바이오공학전공,생물공정공학실험,주황수,화 3~6 / 자C104,20
바이오공학전공,생물공정공학실험,주황수,화 7~10 / 자C104,20
바이오공학전공,인체생리학,류재용,"화 F / 자B202, 목 D / 자B202",57
바이오공학전공,일반생물학Ⅱ,김태훈,"월 C / 자B205, 수 E / 자B205",15
수학전공,고급해석학2,이향주,"화 C / 차428, 목 E / 차428",0
수학전공,금융수학,강성주,"화 E / 차428, 목 C / 차428",21
수학전공,미분기하학2,최성우,"화 D / 차428, 목 F / 차428",0
수학전공,미분방정식,최성우,"화 C / 차138, 목 E / 차138",34
수학전공,미분적분학2,원대연,"월 A / 차138, 수 B / 차138",33
수학전공,복소해석학,이향주,"월 E / 차428, 수 C / 차428",26
수학전공,수학사고방법론,남하얀,"화 A / 차428, 목 B / 차428",23
수학전공,정수론,남하얀,"화 B / 차428, 목 A / 차428",16
수학전공,현대기하,원대연,"화 B / 차138, 목 A / 차138",20
수학전공,현대대수학2,남하얀,"화 F / 차138, 목 D / 차138",7
수학전공,확률론,최성우,"화 E / 차138, 목 C / 차138",16
정보통계학전공,다변량및빅데이터분석실무(캡스톤디자인),김재희,월 F~G / 차139,15
정보통계학전공,데이터 마이닝,이윤모,금 C~D / 차445,20
정보통계학전공,범주형자료분석,김재희,"화 D / 차139, 목 F / 차139",39
정보통계학전공,비모수추론입문,경민정,"화 F / 차444, 목 D / 차444",0
정보통계학전공,사회과학자료분석,경민정,"월 E / 차444, 수 C / 차444",27
정보통계학전공,생존분석,김재희,"월 D / 차139, 수 F / 차139",8
정보통계학전공,수리통계학2,허집,"월 A / 차139, 수 B / 차139",39
정보통계학전공,탐색적 자료분석,경민정,"월 C / 차444, 수 E / 차444",60
정보통계학전공,통계소프트웨어-SPSS,경민정,"화 C / 차444, 목 E / 차444",46
정보통계학전공,통계프로그래밍-파이썬,허집,"화 E / 차441, 목 C / 차441",60
정보통계학전공,파이썬을이용한데이터과학,이윤모,금 A~B / 차445,34
정보통계학전공,확률및확률과정론,최기헌,금 E~F / 차445,13
정보통계학전공,회귀분석,허집,"월 B / 차139, 수 A / 차139",50
화학전공,고급생화학,김선영,"화 F / 자B203, 목 D / 자B203",25
화학전공,고분자화학,권영완,화 C~D / 자B206,31
화학전공,기기분석,이재인,"월 C / 자B202, 수 E / 자B202",53
화학전공,무기화학2,방효춘,"화 A / 자B203, 목 B / 자B203",28
화학전공,물리화학1,김학준,"화 D / 자B202, 목 F / 자B202",49
화학전공,물리화학실험2,김학준,수 C~D / 자C203,24
화학전공,물리화학실험2,김학준,수 G~H / 자C203,15
화학전공,분석화학실험,김학준,화 E~F / 자C203,24
화학전공,분석화학실험,김학준,수 E~F / 자C203,21
화학전공,생화학2,김선영,"화 B / 자B205, 목 A / 자B205",53
화학전공,생화학실험,김선영,월 E~F / 자C110,24
화학전공,양자화학,정해영,"화 E / 자B203, 목 C / 자B203",47
화학전공,유기화학2,이재인,"화 C / 자B202, 목 E / 자B202",65
화학전공,유기화학실험2,이재인,화 E~F / 자C110,21
화학전공,일반화학2,김선영,"월 B / 자B203, 수 A / 자B203",19
화학전공,창업현장실습(Cash Class),임진경,월 C~D / 자B201,24
화학전공,특수연구실험2,김학준,월 G~H / 자C203,15
화학전공,향장화학,임진경,수 A~B / 자B206,35
식품영양학전공,고급영양학및실습,김영남,"월 C~D / 자A303, 월 1~2 / 자B201",29
식품영양학전공,공중보건학,이주연,"화 E / 차244, 목 C / 차244",27
식품영양학전공,식품가공저장학및실습,정미숙,"수 2~3 / 자B202, 금 A~B / 자A203",20
식품영양학전공,식품가공저장학및실습,정미숙,"수 2~3 / 자B202, 금 C~D / 자A203",20
식품영양학전공,식품면역학,정미숙,"화 C / 차228, 목 E / 차228",29
식품영양학전공,식품영양진로탐색,김경희,"월 9~10 / , 월 9~10 / 차246",16
식품영양학전공,식품위생관계법규,조순덕,"화 D / 차247, 목 F / 차247",43
식품영양학전공,식품위생학,김경희,"화 D / 차248, 목 F / 차248",49
식품영양학전공,실험조리및실습,정하숙,"월 7~8 / 자B203, 수 C~D / 자A103",19
식품영양학전공,영양교육및상담,김경희,"월 C / 차246, 수 E / 차246",40
식품영양학전공,영양사현장실습,김경희,화 12~13 / 차246,50
식품영양학전공,영양판정,최성숙,"화 A / 자B202, 목 B / 자B202",54
식품영양학전공,임상영양학,최성숙,"화 B / 자B202, 목 A / 자B202",47
식품영양학전공,조리원리,권태은,"화 B / 차248, 목 A / 차248",39
식품영양학전공,지역사회영양학,한혜경,"월 D / 차248, 수 F / 차248",31
식품영양학전공,푸드디렉팅과디자인실무(캡스톤디자인),김경희,"월 D / 차122, 수 F / 차122",11
생활체육학전공,뉴스포츠,이규정,화 2~3 / 라105,10
생활체육학전공,수상스포츠,강준상,화 11~12 / 라002,41
생활체육학전공,수상스포츠,강준상,목 11~12 / 라001,22
생활체육학전공,스노우보드,김준동,목 10~11 / 라002,20
생활체육학전공,스키,강준상,수 11~12 / 라002,23
생활체육학전공,스키,전찬수,수 11~12 / 라001,27
생활체육학전공,스포츠경영학,강준상,화 E~F / 라002,23
생활체육학전공,스포츠마사지,최재희,목 3~4 / 라008,13
생활체육학전공,스포츠사회학,김지영,목 A~B / 라002,0
생활체육학전공,스포츠생리학,김준동,월 C~D / 라002,25
생활체육학전공,스포츠소비자행동론,전찬수,수 1~2 / 라002,0
생활체육학전공,스포츠정보,안예슬,목 5~6 / 차323,12
생활체육학전공,요가,이수정,화 3~4 / 라101,0
생활체육학전공,전공골프2,강준상,목 3~4 / 라001,17
생활체육학전공,전문실기,장재원,화 5~6 / 누101,13
생활체육학전공,체육측정평가,이시은,수 E~F / 라001,22
생활체육학전공,트레이닝방법론과실제,김준동,수 C~D / 라002,18
생활체육학전공,해양스포츠,김준동,화 10~11 / 라001,0
약학과,감염미생물학,신혜순,"화 7 / 약202, 목 7 / 약202",27
약학과,감염미생물학,신혜순,"화 6 / 약204, 목 5 / 약203",26
약학과,감염미생물학,신혜순,"화 3 / 약203, 목 8 / 약203",27
약학과,기초약무교육2,박지현,수 1~2 / 약205,32
약학과,기초약무교육2,박지현,수 5~6 / 약207,32
약학과,기초약무교육2,박지현,수 7~8 / 약206,33
약학과,"기초약학실습3,4",박명숙,"금 7~9 / , 금 7~9 / 약102",27
약학과,"기초약학실습3,4",박명숙,"금 4~6 / , 금 4~6 / 약102",26
약학과,"기초약학실습3,4",박명숙,"금 1~3 / , 금 1~3 / 약102",27
약학과,독성학,정주희,"목 D / 약207, 금 D / 약207",32
약학과,독성학,정주희,"목 C / 약105, 금 C / 약207",32
약학과,독성학,정주희,"목 E / 약212, 금 E / 약207",33
약학과,무기방사성의약품학,이상협,"월 8 / 약202, 화 6 / 약202, 목 8 / 약202",27
약학과,무기방사성의약품학,이상협,"월 6 / 약204, 화 8 / 약204, 목 6 / 약203",26
약학과,무기방사성의약품학,이상협,"월 7 / 약203, 화 7 / 약203, 목 7 / 약203",27
약학과,물리약학2,강성민,월 1~2 / 약202,27
약학과,물리약학2,강성민,월 3~4 / 약204,26
약학과,물리약학2,강성민,월 5~6 / 약203,27
약학과,바이오의약품론,조효선,수 2~3 / 약107,45
약학과,병태생리학2,송경,"화 E / 약205, 목 C / 약204",31
약학과,병태생리학2,송경,"화 D / 약207, 목 D / 약206",31
약학과,병태생리학2,송경,"화 F / 약206, 목 E / 약205",32
약학과,보건약학,정주희,화 4~5 / 대107,80
약학과,보건의약관계법규,이진이,화 8~9 / 약107,66
약학과,본초학,심연,목 3~4 / 약104,60
약학과,분자생물학,정우현,"월 A / 약205, 금 D / 약204",31
약학과,분자생물학,정우현,"월 D / 약206, 금 B / 약206",31
약학과,분자생물학,정우현,"월 B / 약205, 금 A / 약205",32
약학과,생약학2,이진우,"화 D / 약205, 목 E / 약204",31
약학과,생약학2,이진우,"화 E / 약206, 목 D / 약205",32
약학과,생약학2,이진우,"화 F / 약207, 목 C / 약206",31
약학과,심화필수실무실습,송경,,29
약학과,심화필수실무실습,박지현,,21
약학과,심화필수실무실습,박지현,,40
약학과,약무행정경영관리,이진이,화 3~5 / 약107,97
약학과,약물유전체학,김소연,화 3~4 / 약105,81
약학과,약물치료학1,장하영,목 2~3 / 약107,95
약학과,약물치료학3,강규태,수 5~6 / 약205,32
약학과,약물치료학3,강규태,목 7~8 / 약105,32
약학과,약물치료학3,강규태,수 2~3 / 약206,33
약학과,약물치료학5,강규태,금 2~3 / 약107,69
약학과,약물치료학6,박지현,목 2~3 / 약105,58
약학과,약물학2,이용수,"월 6 / 약205, 수 7 / 약204",31
약학과,약물학2,이용수,"월 8 / 약206, 수 1 / 약204",31
약학과,약물학2,이용수,"월 7 / 약205, 수 6 / 약204",32
약학과,약제학2,박희준,월 1~2 / 약207,32
약학과,약제학2,박희준,월 7~8 / 약207,32
약학과,약제학2,박희준,월 5~6 / 약207,33
약학과,약품기기분석학,곽종환,수 8~10 / 약107,74
약학과,약품분석학2,곽종환,수 2~3 / 약201,27
약학과,약품분석학2,곽종환,수 5~6 / 약107,53
약학과,약품생화학2,문애리,화 2~3 / 약202,27
약학과,약품생화학2,문애리,수 2~3 / 약203,26
약학과,약품생화학2,문애리,월 2~3 / 약203,27
약학과,약학개론,조효선,목 1~2 / 대107,80
약학과,약학세미나,이용수,목 9~10 / 약107,85
약학과,약학연구,강규태,화 10 / 약107,36
약학과,예방약학2,김영미,"화 F / 약205, 목 D / 약204",31
약학과,예방약학2,김영미,"화 E / 약207, 목 E / 약206",31
약학과,예방약학2,김영미,"화 D / 약206, 목 C / 약205",32
약학과,"응용약학실습11,12",조애리,수 7~9 / 약103,32
약학과,"응용약학실습11,12",조애리,수 1~3 / 약103,32
약학과,"응용약학실습11,12",조애리,수 4~6 / 약103,33
약학과,"응용약학실습7,8",정인재,금 1~3 / 약211,31
약학과,"응용약학실습7,8",정인재,금 7~9 / 약211,31
약학과,"응용약학실습7,8",정인재,금 4~6 / 약211,32
약학과,의약품제조관리학,조애리,월 7~8 / 약212,32
약학과,의약품제조관리학,조애리,월 5~6 / 약212,32
약학과,의약품제조관리학,조애리,월 1~2 / 약212,33
약학과,의약품품질과학2,강성민,목 4 / 약207,32
약학과,의약품품질과학2,강성민,목 6 / 약105,32
약학과,의약품품질과학2,강성민,목 5 / 약212,33
약학과,의약품합성학1,박명숙,"월 5 / 약202, 화 8 / 약202, 수 5 / 약201",27
약학과,의약품합성학1,박명숙,"월 7 / 약204, 화 7 / 약204, 수 4 / 약203",26
약학과,의약품합성학1,박명숙,"월 8 / 약203, 화 6 / 약203, 수 7 / 약202",27
약학과,의약화학2,이상협,월 3~4 / 약104,20
약학과,제제공학,박희준,화 6~7 / 약107,0
약학과,항생물질학,조효선,화 1~2 / 약107,82
약학과,해부생리학2,정인재,수 6~7 / 약201,27
약학과,해부생리학2,정인재,수 2~3 / 약202,27
약학과,해부생리학2,정인재,화 2~3 / 약204,26
약학과,환자상담과소통기법,김소연,화 1~2 / 약105,42
약학과(6년제),건강심리학(통6),김은숙,목 5~6 / 약107,75
약학과(6년제),기본응급처치학(통6),신혜순,금 5~6 / 약104,33
약학과(6년제),"기초약학실습1,2(통6)",김은숙,화 C~D / 약102,27
약학과(6년제),"기초약학실습1,2(통6)",김은숙,화 A~B / 약102,27
약학과(6년제),"기초약학실습1,2(통6)",김은숙,화 E~F / 약102,25
약학과(6년제),일반약학물리학(통6),임영재,목 7~8 / 약107,61
약학과(6년제),일반약학생물학2(통6),강성민,화 1~2 / 약201,27
약학과(6년제),일반약학생물학2(통6),강성민,화 5~6 / 약201,27
약학과(6년제),일반약학생물학2(통6),강성민,화 3~4 / 약201,25
약학과(6년제),일반약학수학(통6),강성주,월 7~8 / 약107,56
약학과(6년제),일반약화학2(통6),이혜정,"월 B / 약201, 수 A / 약104",27
약학과(6년제),일반약화학2(통6),이혜정,"월 D / 약201, 수 F / 약104",24
약학과(6년제),일반약화학2(통6),이혜정,"월 A / 약201, 수 B / 약104",27
동양화전공,디지털 동양화,홍남기,목 C~D / F101,12
동양화전공,수묵1,이재열,화 C~D / F101,0
동양화전공,수묵2,박상미,목 C~D / F201,11
동양화전공,수묵4,양대원,월 C~D / F202,12
동양화전공,전시기획 프로젝트,이주연,월 C~D / F201,8
동양화전공,전통기법연구,이주연,수 C~D / F101,13
동양화전공,졸업작품스터디,이주연,화 C~D / F202,18
동양화전공,졸업작품포트폴리오연구,임택,수 C~D / F202,18
동양화전공,채색표현,임택,월 C~D / F101,8
동양화전공,한국근∙현대회화사,이준희,월 A~B / 자B206,13
동양화전공,현대채색화연구2,임택,화 C~D / F201,11
서양화전공,디지털이미지표현연구,박진식,목 C~D / 차325,12
서양화전공,조형연구2,지근욱,수 A~B / F106,15
서양화전공,졸업작품연구2,김연규,목 A~B / F302,24
서양화전공,창작드로잉1,김연규,화 E~F / F106,22
서양화전공,창작드로잉2,김연규,수 E~F / F301,8
서양화전공,창작심화연구,정재호,화 C~D / F302,21
서양화전공,창작회화2,박미연,수 A~B / F302,24
서양화전공,판화,김연규,화 C~D / L002,6
서양화전공,현대미술감상,양은희,목 E~F / 자B201,12
서양화전공,회화연구2,박미연,목 C~D / F106,17
서양화전공,회화연구4,안현정,화 A~B / F301,11
실내디자인전공,공간기획프로젝트,정구헌,수 E~F / N204,14
실내디자인전공,디자인상품개발(캡스톤디자인),강두봉,수 C~D / N204,15
실내디자인전공,디자인실무워크숍,박태욱,월 E~F / N204,18
실내디자인전공,온오프라인숍,조인선,월 A~B / N201,26
실내디자인전공,인테리어3D모델링,이미희,금 C~D / L305,0
실내디자인전공,인테리어CAD,최유식,목 C~D / L305,28
실내디자인전공,인테리어CAD,최유식,목 E~F / L305,0
실내디자인전공,인테리어코디네이션,박태욱,수 E~F / N201,15
실내디자인전공,재료와조명,박정은,월 C~D / N204,20
실내디자인전공,졸업작품프로젝트2,박태욱,월 C~D / K201,15
실내디자인전공,졸업전시스튜디오2,강두봉,수 E~F / K201,15
시각디자인전공,3D애니메이션,이형기,금 E~F / L207,12
시각디자인전공,모션그래픽 ,이문선,금 A~B / N309,20
시각디자인전공,모션그래픽 ,이문선,금 C~D / N309,22
시각디자인전공,브랜드&패키지디자인,이승진,월 C~D / N309,13
시각디자인전공,브랜드&패키지디자인,홍승희,월 C~D / L301,16
시각디자인전공,스토리텔링일러스트졸업프로젝트,김승민,수 C~D / N301,19
시각디자인전공,시각디자인리서치와기획,홍승희,목 E~F / 차324,27
시각디자인전공,영상디자인 작품제작,박지다,화 A~B / N304,15
시각디자인전공,영상디자인 작품제작,박지다,수 A~B / N304,12
시각디자인전공,영상콘텐츠디자인졸업프로젝트,박지다,월 A~B / N301,25
시각디자인전공,웹툰스토리디자인,채수양,월 A~B / N305,10
시각디자인전공,웹툰스토리디자인,채수양,월 C~D / N305,14
시각디자인전공,일러스트레이션프로젝트,김승민,"화 C~D / , 화 C~D / N304",15
시각디자인전공,일러스트레이션프로젝트,신지원,"화 C~D / , 화 C~D / N309",14
시각디자인전공,커뮤니케이션디자인졸업프로젝트,이승진,화 C~D / N301,16
시각디자인전공,크리에이티브씽킹 디자인,전혜진,화 C~D / N305,18
시각디자인전공,크리에이티브씽킹 디자인,전혜진,화 E~F / N305,17
시각디자인전공,타입&커뮤니케이션디자인,홍승희,목 C~D / N309,22
시각디자인전공,타입&커뮤니케이션디자인,이상미,목 C~D / L207,18
텍스타일디자인전공,염색&프린트메이킹,서주람,목 E~F / N102,27
텍스타일디자인전공,위빙&자카드패턴디자인,이재범,수 C~D / N101,15
텍스타일디자인전공,위빙프로젝트2,이재범,월 E~F / N101,26
텍스타일디자인전공,재료와기법,안소영,월 E~F / N107,24
텍스타일디자인전공,텍스타일CAD&VMD,서윤정,수 C~D / L305,14
텍스타일디자인전공,텍스타일니트디자인기초,길지현,화 E~F / N102,18
텍스타일디자인전공,텍스타일디자인브랜딩,이은옥,월 C~D / L305,0
텍스타일디자인전공,텍스타일아트프로젝트2,안소영,수 C~D / N107,26
텍스타일디자인전공,텍스타일위빙CAD,이재범,목 C~D / N101,10
텍스타일디자인전공,텍스타일조형스튜디오,안소영,목 E~F / N107,14
텍스타일디자인전공,포트폴리오쇼케이스,유예원,목 C~D / 차326,25
대학일자리본부(학사),기업현장실습1,손재현,,0
대학일자리본부(학사),기업현장실습2,손재현,,2
대학일자리본부(학사),기업현장실습5,손재현,,0
대학일자리본부(학사),기업현장실습6,손재현,,0
대학일자리본부(학사),기업현장실습7,손재현,,0
대학일자리본부(학사),산학협동인턴십1,손재현,,2
대학일자리본부(학사),산학협동인턴십2,손재현,,5
대학일자리본부(학사),산학협동인턴십3,손재현,,0
대학일자리본부(학사),산학협동인턴십4,손재현,,0
대학일자리본부(학사),해외취업실무1,손재현,,3
대학일자리본부(학사),해외취업실무2,손재현,,2
대학일자리본부(학사),해외취업실무3,손재현,,5
대학일자리본부(학사),해외취업실무4,손재현,,0
대학일자리본부(학사),해외취업실무5,손재현,,2
OSCAR인재개발학부,(M)1인미디어연출기술,심보광,"월 C / 차340, 수 E / 차340",23
OSCAR인재개발학부,(N)메뉴개발과 푸드디자인실습,이주연,"화 A / , 화 A / 차231, 목 B / , 목 B / 차231",7
OSCAR인재개발학부,(N)푸드콘텐츠기획,김경희,"화 F / , 화 F / 차231, 목 D / , 목 D / 차231",13
OSCAR인재개발학부,(N)식품의글로벌트렌드,정미숙,"화 B / 차227, 목 A / 차227",13
OSCAR인재개발학부,(N)사운드미디어제작,임양규,금 C~D / 차340,29
OSCAR인재개발학부,(N)에듀테크 영어콘텐츠 개발,최정혜,금 E~F / 차226,6
OSCAR인재개발학부,(M)디자인과 가치,이은옥,"금 C~D / , 금 C~D / 차224",20
OSCAR인재개발학부,(M)지속가능 디자인,이승진,"금 E~F / , 금 E~F / 차224",18
OSCAR인재개발학부,(M)미디어제작 고급,나정조,목 E~F / 차339,17
OSCAR인재개발학부,(M)문화기획과 직업,곽정연,"화 F / 인346, 목 D / 인346",6
OSCAR인재개발학부,(M)문화콘텐츠 기획 입문,장태순,"월 D / 차137, 수 F / 차137",8
OSCAR인재개발학부,(M)문화콘텐츠의이해와기획실습,정수희,"월 E / 차224, 수 C / 차224",19
OSCAR인재개발학부,(M)레저스포츠 창업경영,노태협,수 E~F / 차233,0
OSCAR인재개발학부,(M)레포츠산업정보의 이해,강준상,수 E~F / 라002,22
OSCAR인재개발학부,(M)액티비티 스포츠,강준상,월 G~H / 라002,23
OSCAR인재개발학부,(N)사물인터넷과 스마트홈,이재호,화 B~C / 차320,6
OSCAR인재개발학부,(N)여성주의 소셜디자인,김도혜,"화 F / 인102, 목 D / 인102",14
OSCAR인재개발학부,(N)중국어 빅데이터 이해와 활용(기초),박민준,"월 C / 차325, 수 E / 차325",8
국어국문학전공,국어국문학산책,김유진,"화 F / , 화 F / 대102, 목 D / , 목 D / 대102",48
일어일문학전공,미디어로보는일본,노주현,"화 A / 대101, 목 B / 대101",52
중어중문학전공,미디어로보는중국,박민준,"화 B / 차136, 목 A / 차136",18
영어영문학전공,영어의세계,윤희철,"화 D / 대203, 목 F / 대203",75
불어불문학전공,기초프랑스어,손경애,"화 E / 차123, 목 C / 차123",4
독어독문학전공,독일과문화콘텐츠,조우호,"화 B / 인345, 목 A / 인345",1
스페인어전공,스페인·라틴아메리카입문,이종득,"화 C / 인301, 목 E / 인301",26
사학전공,한국민주주의역사,최주희,"화 C / 대106, 목 E / 대106",46
철학전공,철학으로보는현대문화,장태순,"화 E / 대203, 목 C / 대203",97
미술사학전공,미술사학이란무엇인가?,정무정,"화 D / 대103, 목 F / 대103",42
문화인류학전공,문화로보는인간탐구,이응철,"화 D / 대204, 목 F / 대204",126
경영학전공,마케팅의기초,조연진,"화 C / 대202, 목 E / 대202",107
회계학전공,회계생활지식,김이배,"화 C / 인327, 목 E / 인327",50
국제통상학전공,국제통상학입문,원동환,"화 C / 대203, 목 E / 대203",118
법학전공,법학의이해,송일두,"화 F / 대202, 목 D / 대202",122
사회학전공,대중소통의사회학,김은정,"화 E / 차243, 목 C / 차243",44
문헌정보학전공,4차산업혁명과문헌정보학의미래,박소연,"화 E / , 화 E / 차119, 목 C / , 목 C / 차119",40
심리학전공,심리학의세계,최승원,"화 E / 대101, 목 C / 대101",66
아동가족학전공,가족학론,박우철,"화 B / 대101, 목 A / 대101",69
사회복지학전공,사회복지학탐색,은석,"화 F / , 화 F / 대104, 목 D / , 목 D / 대104",98
정치외교학전공,정치외교학기초,박진수,"화 F / 차245, 목 D / 차245",59
의상디자인전공,의복패턴메이킹,강여선,화 E~F / 자C305,31
의상디자인전공,의복패턴메이킹,김금화,화 E~F / 자B204,31
컴퓨터공학전공,컴퓨터와친해지기,유견아,"화 A / 차137, 목 B / 차137",69
IT미디어공학전공,콘텐츠프로그래밍,임양규,"화 D / 차336, 목 F / 차336",41
사이버보안전공,프로그래밍기초,강남희,"화 C / 차321, 목 E / 차321",37
사이버보안전공,프로그래밍기초,이선주,"화 C / 차319, 목 E / 차319",36
소프트웨어전공,컴퓨터의원리와응용,이형규,"화 F / 차243, 목 D / 차243",49
소프트웨어전공,컴퓨터의원리와응용,강지헌,"화 F / 차244, 목 D / 차244",51
바이오공학전공,생명과학의기초:생명체구조와기능,김태훈,"화 E / 자B202, 목 C / 자B202",67
수학전공,4차산업혁명시대의수학의세계,원대연,"화 A / 차138, 목 B / 차138",19
정보통계학전공,통계학의 소개,허집,"화 B / 차139, 목 A / 차139",54
화학전공,최신일반화학2,김학준,"화 C / 자B203, 목 E / 자B203",43
식품영양학전공,영양과학의기초,김경희,"화 E / 대103, 목 C / 대103",91
생활체육학전공,레저문화와익스트림스포츠,강준상,"화 D / 라002, 목 F / 라002",31
동양화전공,기초재료표현,임택,목 C~D / F001,31
