,room,time
43,인344,"['목C', '목D', '목E', '수B', '수C', '수D', '월A', '월E', '월F', '화A~B', '화C', '화E', '화F']"
30,인345,"['목A', '목C', '목D', '목E', '목F', '수C', '수D', '수E', '수F', '월C', '월D', '월E', '월F', '화B', '화C', '화D', '화E', '화F']"
32,인346,"['목A', '목C', '목D', '목E', '목F', '수A', '수C', '수D', '수E', '수F', '월B', '월C', '월D', '월E', '월F', '화B', '화C', '화D', '화E', '화F']"
117,자A103,['자B203']
116,자A203,['자B202']
115,자A303,['월C~D']
94,자B201,"['목E~F', '수E~F', '월C~D', '자A303', '화A~B']"
107,자B202,"['목A', '목B', '목C', '목D', '목E', '목F', '수2~3', '수C', '수E', '월C', '월E', '화A', '화B', '화C', '화D', '화E', '화F']"
58,자B203,"['목A', '목B', '목C', '목D', '목E', '수A', '수E', '월7~8', '월B', '월C', '화A', '화B', '화C', '화E', '화F']"
96,자B204,"['월A~B', '월C~D', '화E~F']"
97,자B205,"['목A', '목C~D', '목E', '수A~B', '수E', '월C', '화B', '화C']"
53,자B206,"['목A', '목E~F', '수A~B', '수E', '월A~B', '월C', '화B', '화C~D']"
108,자C104,"['화3~6', '화7~10']"
114,자C110,"['월E~F', '화E~F']"
113,자C203,"['수C~D', '수E~F', '수G~H', '월G~H', '화E~F']"
92,자C301,"['수C~D', '월A~B', '화C~D']"
93,자C302,"['목A~B', '월E~F']"
95,자C305,"['목A~B', '목C~D', '수C~D', '월C~D', '화A~B', '화E~F']"
79,자C306,['화C~D']
98,자C309,['월C~D']
91,자C310,"['금A~B', '금C~D']"
84,차119,"['목A', '목B', '목D', '목F', '수A', '수C', '수D', '수E', '수F', '월B', '월C', '월D', '월E', '월F', '화A', '화B', '화D', '화F']"
0,차121,"['목A', '목B', '목C', '목D', '목E', '목F', '수A', '수B', '수C', '수D', '수E', '수F', '월A', '월B', '월C', '월D', '월E', '월F', '화A', '화B', '화C', '화D', '화E', '화F']"
2,차122,"['목B', '목C~D', '목E', '목F', '수A', '수C', '수D', '수E', '수F', '월B', '월C', '월D', '월E', '월F', '화A', '화C', '화D']"
1,차123,"['목A', '목B', '목C', '목D', '목E', '수A', '수C', '수D', '수E', '수F', '월B', '월C', '월D', '월E', '월F', '화A', '화B', '화C', '화E', '화F']"
10,차124,"['목C', '목D', '목E', '목F', '수A', '수B', '수E', '수F', '월A', '월B', '월C', '월D', '화A', '화B', '화C', '화D', '화E', '화F']"
82,차136,"['금C~D', '목A', '목B', '목C', '목E', '목F', '수E', '월C', '화A', '화B', '화C', '화D', '화E']"
85,차137,"['목A', '목B', '목D', '목F', '수F', '월D', '월G~H', '화A', '화B', '화D', '화F']"
87,차138,"['목A', '목B', '목C', '목D', '목E', '수B', '수E', '월A', '월C', '화A', '화B', '화C', '화E', '화F']"
86,차139,"['목A', '목B', '목C', '목E', '목F', '수A', '수B', '수C', '수E', '수F', '월A', '월B', '월C', '월D', '월E', '월F~G', '화A', '화B', '화C', '화D', '화E']"
8,차143,"['수1~2', '수3~4', '수5~6', '수7~8', '월1~2', '월3~4', '월5~6', '월7~8']"
4,차144,"['수1~2', '수3~4', '수5~6', '수7~8', '월1~2', '월3~4', '월5~6', '월7~8']"
5,차145,"['수1~2', '수3~4', '수5~6', '수7~8', '월1~2', '월3~4', '월5~6', '월7~8']"
