,room,time
46,인101,"{'월C', '금E~F', '화F', '수C', '목F', '화D', '수D', '목D', '월F', '월E', '수F', '화C', '목A', '수E', '월D', '목E', '화B'}"
47,인103,"{'월C', '화A', '화F', '월A', '수D', '수E', '목D', '월F', '수B', '화E', '목C', '수F', '화C', '목B', '월D', '목E'}"
48,대103,"{'화A', '화F', '수C', '목F', '화D', '목D', '화E', '월E', '목C', '목A', '목B', '화B'}"
49,대107,"{'차247', '화4~5', '목1~2', '수F', '월D'}"
50,대106,"{'월C~D', '화E', '화C', '목C', '목A', '목E', '화B'}"
51,차243,"{'금E~F', '화E', '목A', '목E', '월C', '금C~D', '목D', '월F', '목C', '월D', '화A', '수C', '금A~B', '수D', '월E', '화C', '목B', '화F', '월A~B', '수F', '수E', '화B'}"
52,차244,"{'화E', '목A', '월C', '월A', '목D', '수A', '목C', '월D', '화A', '목F', '화D', '수B', '월B', '월E~F', '목B', '화F', '수F', '수E', '화B'}"
53,차228,"{'화A', '수C~D', '화F', '월C~D', '목F', '화D', '목D', '목B', '수E~F', '수A', '화C', '월B', '월E~F', '목E'}"
54,자B206,"{'월C', '화C~D', '월A~B', '목A', '수E', '수A~B', '목E~F', '화B'}"
55,차337,"{'화F', '화A', '월C~D', '목F', '금A~B', '월E~F', '화G', '화E', '목C', '목A', '목B', '목G', '월G~H', '화B'}"
56,차326,"{'금E~F', '금C~D', '월C~D', '수C', '월A', '금A~B', '수D', '월F', '수A', '목C~D', '수B', '월E', '화C', '월B', '화A~B', '목E'}"
57,차235,"{'수C~D', '금C~D', '목F', '화D', '월E', '수F', '월D'}"
58,차246,"{'', '화E', '목A', '목E', '월C', '화12~13', '목D', '목C', '월D', '화A', '수C', '목F', '화D', '월E', '화C', '목B', '화F', '수F', '수E', '화B'}"
59,자B203,"{'월C', '화F', '화A', '월B', '목D', '목B', '수A', '화E', '월7~8', '화C', '목C', '목A', '수E', '목E', '화B'}"
60,차233,"{'화F', '화A', '수D', '목D', '월F', '화E', '목C', '월3~4', '화C', '목A', '목B', '수A~B', '목E', '화B'}"
61,대104,"{'화A', '수C', '수D', '월F', '화C~D', '월E', '목A', '목B', '화B'}"
62,라001,"{'수3~4', '화3~4', '목5~6', '수11~12', '목3~4', '수E~F', '월10~11', '목11~12'}"
63,라101,{'수5~6'}
64,라002,"{'수C~D', '목10~11', '월C~D', '목F', '화E~F', '화D', '수11~12', '수E~F', '월7~8', '월G~H', '화11~12'}"
65,대202,"{'화A', '화F', '수C', '목F', '화D', '목D', '수A', '월E', '화C', '월B', '목B', '목E'}"
66,L305,"{'금A~B', '목C~D', '수C~D'}"
67,차325,"{'월C', '금E~F', '금C~D', '금A~B', '화E~F', '수D', '월F', '수A', '목C~D', '화C~D', '수F', '월B', '수E', '월D', '목A', '화B'}"
68,대105,"{'목C', '화E', '금C~D'}"
69,대204,"{'금4', '수F', '금3', '목F', '화D', '목C~D', '월3~4', '월D', '금7'}"
